Station Name,Entry_MTT,Entry_FRI
Abbey Road,2114,2185
Acton Central,3728,3891
Acton Main Line,776,801
Acton Town,9889,10337
Aldgate,17014,15554
Aldgate East,23843,25167
All Saints,3036,3219
Alperton,4597,4574
Amersham,3890,3651
Anerley,1523,1439
Angel,29681,30678
Archway,15169,15499
Arnos Grove,7390,7586
Arsenal,4579,4876
Baker Street,47518,47433
Balham,26595,27182
Bank and Monument,116809,111476
Barbican,21190,19096
Barking,29391,29493
Barkingside,2908,2728
Barons Court,12250,12116
Battersea Park,2984,2651
Bayswater,6697,7696
Beckton,4131,4164
Beckton Park,1400,1375
Becontree,6154,6175
Belsize Park,10447,10328
Bermondsey,16324,16862
Bethnal Green,2156,2043
Bethnal Green,23580,25971
Blackfriars,30694,28469
Blackhorse Road,15532,15891
Blackwall,2900,2999
Bond Street,61687,64696
Borough,9388,9554
Boston Manor,3512,3621
Bounds Green,9928,10135
Bow Church,3622,3527
Bow Road,9686,9899
Brent Cross,4150,3992
Brentwood,5942,5498
Brixton,51623,54527
Brockley,7456,7849
Bromley-by-Bow,7273,7439
Brondesbury,6672,6684
Brondesbury Park,2866,2876
Bruce Grove,2792,2700
Buckhurst Hill,3348,3381
Burnt Oak,7443,7326
Bush Hill Park,2392,2086
Bushey,2382,2330
Caledonian Road,9056,9674
Caledonian Road & Barnsbury,3170,3149
Cambridge Heath,1609,1579
Camden Road,9886,9974
Camden Town,28239,37691
Canada Water,20083,22068
Canary Wharf DLR,20673,18395
Canary Wharf,95850,91637
Canning Town,23161,24216
Cannon Street,17392,15598
Canonbury,5635,5860
Canons Park,4977,5073
Carpenders Park,2394,2545
Chadwell Heath,7843,8035
Chalfont & Latimer,3095,3179
Chalk Farm,8888,10092
Chancery Lane,32619,30826
Charing Cross,32818,34763
Chesham,2061,1952
Cheshunt,2889,2436
Chigwell,1033,999
Chingford,3667,3429
Chiswick Park,3463,3577
Chorleywood,1293,1355
Clapham Common,14088,16100
Clapham High Street,3501,3628
Clapham Junction,43429,44058
Clapham North,8951,10643
Clapham South,13431,14162
Clapton,3372,3116
Cockfosters,2825,3072
Colindale,12454,12698
Colliers Wood,10903,11479
Covent Garden,21687,24374
Crossharbour,5964,6191
Crouch Hill,1225,1206
Croxley,1970,1926
Crystal Palace,6580,6126
Custom House,3599,3512
Cutty Sark,9750,10615
Cyprus,4034,3413
Dagenham East,5243,5191
Dagenham Heathway,9994,10130
Dalston Junction,9638,10542
Dalston Kingsland,11304,12211
Debden,4492,4260
Denmark Hill,12362,11498
Deptford Bridge,6667,6764
Devons Road,3705,3785
Dollis Hill,6819,6995
Ealing Broadway,28485,29098
Ealing Common,5229,5333
Earl's Court,30454,33002
East Acton,6653,6821
East Finchley,11736,11687
East Ham,22778,22898
East India,6418,6245
East Putney,11002,10999
Eastcote,5033,4917
Edgware,8290,8270
Edgware Road (Bakerloo),8156,8138
Edgware Road (Circle Line),12105,11852
Edmonton Green,6432,5731
Elephant & Castle LU,35496,36256
Elm Park,5561,5380
Elverson Road,2675,2797
Embankment,35696,38831
Emerson Park,667,608
Enfield Town,4312,4123
Epping,6763,6731
Euston,59078,73812
Euston,14979,14848
Euston Square,26280,23157
Fairlop,2210,2177
Farringdon,50150,45332
Finchley Central,14303,14135
Finchley Road,16693,16960
Finchley Road & Frognal,5274,5205
Finsbury Park ,49676,64934
Finsbury Park,1928,1965
Forest Gate,7713,8230
Forest Hill,8743,8238
Fulham Broadway,15058,15495
Gallions Reach,2603,2658
Gants Hill,11378,11360
Gidea Park,5753,5064
Gloucester Road,22463,23847
Golders Green,13371,13489
Goldhawk Road,3678,3781
Goodge Street,13065,13093
Goodmayes,6978,7110
Gospel Oak,4394,4312
Grange Hill,1262,1226
Great Portland Street,14878,13407
Green Park,60211,61888
Greenford,7286,7462
Greenwich,8642,8436
Gunnersbury,11767,10780
Hackney Central,12160,12869
Hackney Downs,5772,5537
Hackney Wick,5374,5604
Haggerston,5477,5564
Hainault,6639,6652
Hammersmith (Dist&Picc Line),50179,51180
Hammersmith (H&C Line),21728,21811
Hampstead,6921,7372
Hampstead Heath,6242,6080
Hanger Lane,6471,6476
Hanwell,1075,1001
Harlesden,5679,5684
Harold Wood,5709,5774
Harringay Green Lanes,1490,1485
Harrow & Wealdstone,8912,8988
Harrow-on-the-Hill,16733,17285
Hatch End,1505,1521
Hatton Cross,5064,5314
Hayes & Harlington,4579,4059
Headstone Lane,1272,1313
Heathrow Terminal 4,549,650
Heathrow Terminal 4,3269,4007
Heathrow Terminal 5,6808,8068
Heathrow Terminals 1-2-3,11806,14502
Heathrow Terminals 1-2-3,907,1017
Hendon Central,13208,12920
Heron Quays,6807,6166
High Barnet,7184,7209
