NLC,NAME,EASTING,NORTHING,x,y,LINES,Zone
500,Acton Town,519478,179592,-0.278432824,51.50213702,"District, Piccadilly",3
501,Barbican,532004,181856,-0.097189673,51.51969921,"Circle, Hammersmith & City, Metropolitan",1
502,Aldgate,533613,181262,-0.0742363,51.51398203,"Circle, Metropolitan",1
503,Aldgate East,533936,181375,-0.069540402,51.51491653,"District, Hammersmith & City",1
504,Stratford International DLR,538128,184761,-0.007832275,51.54433906,DLR,"2,3"
505,Alperton,517996,183795,-0.298361133,51.54022715,Piccadilly,4
506,Amersham,496372,198181,-0.606146762,51.67366188,Metropolitan,9
507,Angel,531561,183100,-0.103116359,51.5309796,Northern,1
508,Archway,529364,186721,-0.13344404,51.56403452,Northern,"2,3"
509,Arnos Grove,529355,192498,-0.131434823,51.61595478,Piccadilly,4
510,Arsenal,531305,186112,-0.105674399,51.55811105,Piccadilly,2
511,Baker Street,527955,182064,-0.155454387,51.52249387,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan",1
512,Balham LU,528480,173244,-0.151090206,51.44310998,Northern,3
513,Bank and Monument,532710,181120,-0.08729695,51.51291511,"Central, Circle, District, DLR, Northern, Waterloo & City",1
514,Barking,544359,184382,0.081813552,51.53937511,"District, Hammersmith & City, London Overground",4
515,Barkingside,544799,189494,0.090259547,51.58519895,Central,4
516,Barons Court,524046,178328,-0.213088174,51.48978737,"District, Piccadilly",2
517,Bayswater,525843,180823,-0.186322701,51.51181507,"Circle, District",1
518,Becontree,547628,184527,0.128978641,51.53983401,District,5
519,Belsize Park,527354,185089,-0.163016956,51.54982085,Northern,2
520,Bethnal Green LU,535044,182718,-0.053074702,51.52672839,Central,2
521,Blackfriars LU,531694,180893,-0.102020251,51.51111447,"Circle, District",1
522,Blackhorse Road,535761,189370,-0.040174342,51.58633801,"London Overground, Victoria",3
523,King George V,543237,180137,0.063920007,51.50151128,DLR,3
524,Bond Street,528491,181118,-0.148076884,51.51387033,"Central, Jubilee, TfL Rail",1
525,Borough,532440,179751,-0.091702818,51.50067969,Northern,1
526,Boston Manor,516334,178693,-0.32401176,51.494711,Piccadilly,4
527,Bounds Green,529984,191469,-0.122731021,51.60656487,Piccadilly,"3,4"
528,Bow Road,537090,182736,-0.02358427,51.52639287,"District, Hammersmith & City",2
529,Brent Cross,523874,187934,-0.212185251,51.57616797,Northern,3
530,Bromley-by-Bow,538050,182524,-0.009841042,51.52424987,"District, Hammersmith & City","2,3"
531,Buckhurst Hill,541778,193891,0.048455336,51.62548342,Central,5
532,Burnt Oak,520326,190760,-0.262398845,51.60233699,Northern,4
533,London City Airport,542250,180292,0.04977043,51.50315378,DLR,3
534,Caledonian Road,530558,184970,-0.116864262,51.54801774,Piccadilly,2
535,Camden Town,528910,183894,-0.141016888,51.53872412,Northern,2
536,Cannon Street LU,532611,180900,-0.088801035,51.51096254,"Circle, District",1
537,Canons Park,518187,191252,-0.293102561,51.60721294,Jubilee,5
538,Pontoon Dock,541219,180109,0.03485088,51.50176796,DLR,3
539,Chalfont & Latimer,499634,197564,-0.559159868,51.66754646,Metropolitan,8
540,Chalk Farm,528202,184391,-0.151037017,51.54335257,Northern,2
541,Chancery Lane,531124,181615,-0.109960547,51.5177395,Central,1
542,Embankment,530419,180396,-0.120562428,51.50694137,"Bakerloo, Circle, District, Northern",1
543,Chesham,496079,201633,-0.609421076,51.70474175,Metropolitan,9
544,Chigwell,543795,193021,0.077229167,51.61715195,Central,4
545,Chiswick Park,520293,178724,-0.266981606,51.49415785,District,3
546,Chorleywood,502581,196095,-0.516985176,51.65380677,Metropolitan,7
547,Clapham Common,529505,175338,-0.135588991,51.46169503,Northern,2
548,Clapham North,530039,175743,-0.127754372,51.4652144,Northern,2
549,Clapham South,528834,174323,-0.145610374,51.45272059,Northern,"2,3"
550,Cockfosters,528141,196370,-0.147553187,51.65103526,Piccadilly,5
551,Colindale,521319,189962,-0.248341905,51.59494713,Northern,4
552,Colliers Wood,526788,170368,-0.176460893,51.41763979,Northern,3
553,Covent Garden,530251,181025,-0.122759938,51.51263471,Piccadilly,1
554,Croxley,507909,195403,-0.44019171,51.64658792,Metropolitan,7
555,Dagenham East,550294,185030,0.167617456,51.54364955,District,5
556,Dagenham Heathway,549023,184710,0.149158377,51.54110645,District,5
557,Debden,544273,196122,0.085403181,51.64489405,Central,6
558,Dollis Hill,522190,185144,-0.237445148,51.55145847,Jubilee,3
559,West Silvertown,540460,180156,0.023940282,51.50237959,DLR,3
560,Ealing Broadway,517989,180933,-0.299418497,51.51449777,"Central, District, TfL Rail",3
561,Ealing Common,518896,180346,-0.286555479,51.50903565,"District, Piccadilly",3
562,Earl's Court,525534,178552,-0.19157701,51.4914734,"District, Piccadilly","1,2"
563,East Acton,521721,181198,-0.245569272,51.51609001,Central,2
564,Eastcote,511153,187622,-0.39578946,51.57601384,"Metropolitan, Piccadilly",5
565,East Finchley,527222,189184,-0.163438627,51.58665344,Northern,3
566,East Ham,542463,184275,0.054454908,51.5388975,"District, Hammersmith & City","3,4"
567,East Putney,524382,174870,-0.209468663,51.45863492,District,"2,3"
568,Edgware,519550,191940,-0.273183711,51.61311251,Northern,5
569,Edgware Road (DIS),527220,181697,-0.166170742,51.51936413,"Circle, District, Hammersmith & City",1
570,Elephant & Castle LU,531909,179142,-0.099577259,51.4953253,"Northern, Bakerloo","1,2"
571,Elm Park,552542,185716,0.200311564,51.54920911,District,6
572,Epping,546209,201538,0.115641374,51.69306818,Central,6
573,Woolwich Arsenal,543731,178811,0.070492592,51.48946942,DLR,4
574,Euston LU,529498,182668,-0.132992071,51.52757668,"Northern, Victoria",1
575,Euston Square,529417,182393,-0.134270582,51.52512499,"Circle, Hammersmith & City, Metropolitan",1
576,Fairlop,544936,190595,0.092688126,51.59505439,Central,4
577,Farringdon,531560,181874,-0.103582415,51.51996102,"Circle, Hammersmith & City, Metropolitan, TfL Rail",1
578,Finchley Central,525278,190668,-0.190951925,51.60043321,Northern,4
579,Finchley Road,526220,184716,-0.179489511,51.54672589,"Metropolitan, Jubilee",2
580,Finsbury Park,531330,186775,-0.105068129,51.56406609,"Piccadilly, Victoria",2
581,Fulham Broadway,525455,177302,-0.193168686,51.48025536,District,2
582,Gants Hill,543274,188430,0.067825538,51.57602949,Central,4
583,Gloucester Road,526183,178846,-0.182135121,51.49397763,"District, Piccadilly, Circle",1
584,Golders Green,525255,187480,-0.192420671,51.57178437,Northern,3
585,Goldhawk Road,523184,179608,-0.225049873,51.50148234,"Circle, Hammersmith & City",2
586,Goodge Street,529537,181837,-0.132736642,51.52009307,Northern,1
587,Grange Hill,544967,192559,0.093957755,51.61269646,Central,4
588,Great Portland Street,528838,182180,-0.142685711,51.52333822,"Circle, Hammersmith & City, Metropolitan",1
589,Greenford,514763,183928,-0.34492109,51.54208841,Central,4
590,Green Park,529007,180295,-0.140937126,51.50635747,"Jubilee, Piccadilly, Victoria",1
591,Gunnersbury,519845,178388,-0.273547129,51.49123204,"District, London Overground",3
592,Hainault,545080,191498,0.095143844,51.60313737,Central,4
593,Hammersmith (DIS),523461,178503,-0.22144689,51.49148885,"District, Piccadilly",2
594,Hampstead,526373,185761,-0.17692039,51.55608598,Northern,"2,3"
