name,2017,2016,2015
Acton Town,6.04,6.27,6.24
Barbican,11.83,11.97,11.28
Aldgate,8.85,8.01,7.53
Aldgate East,14,13.43,12.84
Alperton,3.05,3.17,3.21
Amersham,2.32,2.36,2.29
Angel,19.2,20.1,19.76
Archway,9.28,9.94,9.79
Arnos Grove,4.61,4.65,4.55
Arsenal,2.82,3.01,2.8
Baker Street,28.78,29.75,29.38
Balham,14.31,14.64,14.18
Bank & Monument,61.8,64.26,57.51
Barking,18.2,15.86,16.06
Barkingside,1.62,1.63,1.41
Barons Court,7.12,7.21,7.3
Bayswater,4.71,4.76,5.22
Becontree,3.64,3.55,3.49
Belsize Park,6.24,6.48,6.16
Bethnal Green,15.57,16.27,16.16
Blackfriars,14.83,15.45,13.7
Blackhorse Road,9,8.45,8.36
Bond Street,38.8,39.53,37.12
Borough,5.87,5.87,5.36
Boston Manor,2.29,2.32,2.24
Bounds Green,6.39,6.62,6.46
Bow Road,5.66,5.65,6.1
Brent Cross,2.52,2.49,2.57
Bromley-by-Bow,3.75,3.79,3.69
Buckhurst Hill,2.3,2.19,2.06
Burnt Oak,4.49,4.52,4.38
Caledonian Road,5.72,5.73,6.13
Camden Town,22.51,22.88,21.9
Cannon Street,9.39,8.98,7.49
Canons Park,3.07,2.93,2.79
Chalfont & Latimer,1.67,1.49,1.44
Chalk Farm,5.89,5.61,5.75
Chancery Lane,17.48,18.19,16.36
Embankment,22.13,26.84,21.56
Chesham,1.13,1.07,0.88
Chigwell,0.5,0.53,0.56
Chiswick Park,2.25,2.29,2.15
Chorleywood,0.75,1.07,1.14
Clapham Common,10.49,10.04,10.07
Clapham North,6.86,6.9,7.03
Clapham South,8.65,8.8,8.58
Cockfosters,1.93,2.04,1.85
Colindale,7.14,6.23,5.95
Colliers Wood,6.7,6.72,6.52
Covent Garden,17.54,17.19,14.67
Croxley,1.13,1.08,1.06
Dagenham East,3,2.98,2.86
Dagenham Heathway,6.08,6.04,6.07
Debden,2.47,2.47,2.46
Dollis Hill,4.26,4.18,3.09
Ealing Broadway,16.79,18.6,16.84
Ealing Common,3.19,3.18,3.52
Earl's Court,19.99,20,20.5
East Acton,4.08,4.12,4.01
Eastcote,3.01,2.94,2.83
East Finchley,7.31,7.47,7.34
East Ham,14.7,14.75,15.09
East Putney,6.18,6.37,6
Edgware,5.28,5.19,4.78
Edgware Road (Cir),7.15,6.96,7.21
Elephant & Castle,22.1,23.3,19.09
Elm Park,3.28,3.1,3
Epping,3.97,3.77,3.33
Euston,43.07,43.1,42.16
Euston Square,14.13,14.4,14.88
Fairlop,1.24,1.2,1.13
Farringdon,20.14,15.87,23.78
Finchley Central,7.2,6.95,5.78
Finchley Road,9.63,10,9.95
Finsbury Park,31.22,32.74,28.85
Fulham Broadway,9.63,10.15,10.71
Gants Hill,6.83,7.14,6.59
Gloucester Road,13.84,13.98,14.2
Golders Green,8.41,8.51,8.7
Goldhawk Road,2.14,2.12,2.09
Goodge Street,7.52,8.46,8.84
Grange Hill,0.67,0.66,0.66
Great Portland Street,8.08,8.66,8.34
Greenford,4.68,4.81,4.72
Green Park,39.34,41.24,39.55
Gunnersbury,5.71,5.78,5.41
Hainault,3.8,3.74,3.61
Hammersmith (Dis),29.31,29.42,28.83
Hampstead,4.83,4.64,4.56
Hanger Lane,3.89,4.1,3.95
Harlesden,3.2,3.1,3.01
Harrow & Wealdstone,4.83,4.96,5
Harrow-on-the-Hill,10.96,10.67,10.26
Wood Lane,4,3.68,3.7
Hendon Central,7.8,8.13,7.97
High Barnet,4.26,3.65,3.65
Highbury & Islington,20.09,20.22,18.44
Highgate,5.87,5.77,5.48
High Street Kensington,12.76,13.1,13.36
Hillingdon,1.81,1.77,1.86
Holborn,32.54,33.96,40.53
Holland Park,3.63,3.23,3.37
Holloway Road,6.79,6.72,6.73
Hornchurch,2.24,2.11,2.02
Hounslow Central,3.95,3.83,4.01
Hounslow East,4.04,3.87,4.52
Hounslow West,3.52,3.55,3.55
Hyde Park Corner,5.54,6.31,7.44
Ickenham,1.17,1.17,1.19
Kennington,5.58,5.59,5.53
Kensal Green,2.69,2.72,2.56
Kensington (Olympia),2.01,2.05,2.01
Kentish Town,8.35,8.36,10.49
Kenton,2.07,2.08,2.12
Kew Gardens,4.37,4.18,3.55
Kilburn,8.62,8.58,8.27
Kilburn Park,3.37,3.43,3.42
Kingsbury,5.22,5.12,4.97
King's Cross St. Pancras,97.92,95.03,93.41
