Station 2023,En/Ex 2021,En/Ex 2022,En/Ex 2023
Acton Town,2902697,4931972,4823835
Barbican,3467856,5361855,5185508
Aldgate,3525128,6902494,6897314
Aldgate East,5611130,10229488,10947896
Stratford International DLR,2623668,3885642,4442673
Alperton,1345253,2302973,2598605
Amersham,946577,1657141,1729521
Angel,7258744,12371592,12258814
Archway,4027456,6798862,7137484
Arnos Grove,1963343,3299601,3293586
Arsenal,1209093,2115609,2203557
Baker Street,11147642,20518901,21207073
Balham LU,5356512,9216500,9828394
Bank and Monument,30132853,34408044,37200346
Barking,11353650,14556327,15137045
Barkingside,647203,1116039,1167037
Barons Court,2900237,5110605,5240900
Bayswater,1498957,3337844,3644937
Becontree,1759768,2674391,2899358
Belsize Park,2609939,4592789,5022937
Bethnal Green LU,6322604,10197951,10176312
Blackfriars LU,4795990,9407136,9951205
Blackhorse Road,6536601,8505240,8975412
King George V,1237801,1620656,1589739
Bond Street,15694939,35413724,37424555
Borough,2066434,3742967,4067823
Boston Manor,879895,1493683,1435853
Bounds Green,2509255,4147021,4266560
Bow Road,2257180,3826239,4157626
Brent Cross,1071927,2037612,1860607
Bromley-by-Bow,2030519,3425585,3727656
Buckhurst Hill,1072751,1681412,1786001
Burnt Oak,1912270,3110822,3063800
London City Airport,1601328,3223651,3477974
Caledonian Road,2421295,4179663,4354076
Camden Town,9118497,17335262,18805872
Cannon Street LU,2147772,3788997,3842155
Canons Park,1249231,2055535,2073359
Pontoon Dock,1794022,2809682,2834685
Chalfont & Latimer,736602,1303138,1604937
Chalk Farm,2195398,4002534,4532637
Chancery Lane,5469516,8530236,7803444
Embankment,8251813,15132337,17051267
Chesham,507495,869938,966889
Chigwell,192328,312653,332284
Chiswick Park,1013033,1901398,2074444
Chorleywood,803805,1340211,1455300
Clapham Common,4712092,7706807,8040059
Clapham North,3273797,5215179,5210928
Clapham South,3758231,6132625,6323510
Cockfosters,836566,1410899,1450247
Colindale,3432152,5947593,6314434
Colliers Wood,3024060,4986160,5339416
Covent Garden,7484432,12986920,12573815
Croxley,487950,810760,837496
Dagenham East,1496282,2328494,2645552
Dagenham Heathway,2869564,4453620,4827763
Debden,1106863,1769334,1841035
Dollis Hill,1865453,2925221,3043893
West Silvertown,1505609,2228492,2437908
Ealing Broadway,8307429,13427062,15429088
Ealing Common,1308100,2017966,1954910
Earl's Court,8396552,15175947,15779710
East Acton,1326939,2711444,3130908
Eastcote,1187714,1992221,2158123
East Finchley,2809498,4952437,5198096
East Ham,5966757,9890008,10787392
East Putney,3007533,5020735,5785361
Edgware,2278683,3931713,4040066
Edgware Road (DIS),2838710,5073595,5676320
Elephant & Castle LU,7881463,13298222,14236050
Elm Park,1406370,2228052,2542830
Epping,1890743,3021978,3276268
Woolwich Arsenal,8491604,7729812,6983940
Euston LU,15882123,27686937,29965071
Euston Square,5263980,10326061,11239346
Fairlop,541194,869290,885823
Farringdon,8497573,30068501,40070382
Finchley Central,3523038,6004211,6258859
Finchley Road,3908195,6684393,7045026
Finsbury Park,14048632,23402642,20479785
Fulham Broadway,4148235,6520154,6823150
Gants Hill,2835478,4748259,4780369
Gloucester Road,6967643,10486109,11353518
Golders Green,3332144,5785182,6030683
Goldhawk Road,954301,1677524,1804676
Goodge Street,2537086,5152082,5113576
Grange Hill,232680,367952,397280
Great Portland Street,2685637,5160153,5347065
Greenford,2049869,3292419,3269238
Green Park,15943763,28415099,28247401
Gunnersbury,2942058,3873039,4045767
Hainault,1732237,2795930,2861021
Hammersmith (DIS),10798249,20055131,20290665
Hampstead,2111620,3606601,3889479
Hanger Lane,1467628,2584708,2547324
Harlesden,2321402,2331624,2466317
Harrow & Wealdstone,3884873,3229099,3540050
Harrow-on-the-Hill,4761645,8216227,8435460
Wood Lane,2194795,4129894,4909025
Hendon Central,2933496,4941336,5179915
High Barnet,1826421,3172741,3259745
Highbury & Islington,20632454,13755507,14142708
Highgate,2428486,4242758,4408040
High Street Kensington,4454568,8535039,9413060
Hillingdon,747141,1327387,1373730
