LSOA code,LSOA name,Value
E01000001,City of London 001A,"842,500"
E01000002,City of London 001B,"812,500"
E01000003,City of London 001C,"525,000"
E01000005,City of London 001E,
E01032739,City of London 001F,"645,000"
E01032740,City of London 001G,"810,000"
E01000006,Barking and Dagenham 016A,"426,250"
E01000007,Barking and Dagenham 015A,"228,000"
E01000008,Barking and Dagenham 015B,
E01000009,Barking and Dagenham 016B,"206,000"
E01000010,Barking and Dagenham 015C,"270,000"
E01000011,Barking and Dagenham 016C,"415,000"
E01000012,Barking and Dagenham 015D,"300,000"
E01000013,Barking and Dagenham 013A,"350,000"
E01000014,Barking and Dagenham 013B,"326,063"
E01000015,Barking and Dagenham 009A,"315,000"
E01000016,Barking and Dagenham 009B,"330,000"
E01000017,Barking and Dagenham 009C,"331,000"
E01000018,Barking and Dagenham 009D,"348,500"
E01000019,Barking and Dagenham 023A,"332,000"
E01000020,Barking and Dagenham 023B,"355,000"
E01000021,Barking and Dagenham 008A,"357,500"
E01000022,Barking and Dagenham 008B,"390,000"
E01000023,Barking and Dagenham 008C,"305,000"
E01000024,Barking and Dagenham 008D,"325,000"
E01000025,Barking and Dagenham 008E,"355,000"
E01000027,Barking and Dagenham 001A,"331,500"
E01000028,Barking and Dagenham 001B,"312,500"
E01000029,Barking and Dagenham 001C,"417,500"
E01000030,Barking and Dagenham 001D,"365,000"
E01000031,Barking and Dagenham 002A,"423,500"
E01000032,Barking and Dagenham 002B,"437,500"
E01000033,Barking and Dagenham 006A,"377,500"
E01000034,Barking and Dagenham 003A,
E01000035,Barking and Dagenham 010A,"420,500"
E01000036,Barking and Dagenham 010B,"381,000"
E01000037,Barking and Dagenham 003B,"438,000"
E01000038,Barking and Dagenham 003C,"447,500"
E01000039,Barking and Dagenham 003D,"365,500"
E01000040,Barking and Dagenham 019A,"345,000"
E01000041,Barking and Dagenham 017A,"340,000"
E01000042,Barking and Dagenham 017B,"260,000"
E01000043,Barking and Dagenham 019B,"390,000"
E01000044,Barking and Dagenham 016D,"380,000"
E01000045,Barking and Dagenham 017C,"343,500"
E01000046,Barking and Dagenham 017D,"340,000"
E01000048,Barking and Dagenham 021B,
E01000049,Barking and Dagenham 021C,
E01000050,Barking and Dagenham 019C,"315,000"
E01000051,Barking and Dagenham 021D,
E01000052,Barking and Dagenham 019D,"328,750"
E01000053,Barking and Dagenham 020A,"320,000"
E01000054,Barking and Dagenham 018A,"344,500"
E01000055,Barking and Dagenham 018B,"345,000"
E01000056,Barking and Dagenham 018C,"366,250"
E01000057,Barking and Dagenham 012A,"313,750"
E01000058,Barking and Dagenham 018D,"315,000"
E01000059,Barking and Dagenham 013C,"337,500"
E01000060,Barking and Dagenham 006B,"348,500"
E01000061,Barking and Dagenham 006C,"200,000"
E01000062,Barking and Dagenham 006D,"346,500"
E01000063,Barking and Dagenham 004A,"337,500"
E01000064,Barking and Dagenham 006E,"301,000"
E01000065,Barking and Dagenham 007A,"340,000"
E01000066,Barking and Dagenham 011A,"490,000"
E01000067,Barking and Dagenham 011B,"480,000"
E01000068,Barking and Dagenham 016E,"515,000"
E01000069,Barking and Dagenham 011C,"497,000"
E01000070,Barking and Dagenham 011D,"525,000"
E01000071,Barking and Dagenham 011E,"465,000"
E01000072,Barking and Dagenham 017E,"326,000"
E01000073,Barking and Dagenham 012B,"331,250"
E01000074,Barking and Dagenham 012C,"338,750"
E01000075,Barking and Dagenham 012D,"455,000"
E01000076,Barking and Dagenham 012E,"365,000"
E01000077,Barking and Dagenham 008F,"356,500"
E01000078,Barking and Dagenham 007B,"347,500"
E01000079,Barking and Dagenham 009E,"329,000"
E01000080,Barking and Dagenham 007C,"342,750"
E01000081,Barking and Dagenham 007D,"330,000"
E01000082,Barking and Dagenham 007E,"327,250"
E01000083,Barking and Dagenham 007F,"345,000"
E01000084,Barking and Dagenham 013D,"332,500"
E01000085,Barking and Dagenham 013E,"335,000"
E01000086,Barking and Dagenham 013F,"333,000"
E01000087,Barking and Dagenham 020B,"343,500"
E01000088,Barking and Dagenham 020C,"330,000"
E01000089,Barking and Dagenham 020D,"320,000"
E01000090,Barking and Dagenham 020E,"328,000"
E01000091,Barking and Dagenham 022A,"247,000"
E01000092,Barking and Dagenham 019E,"315,000"
E01000093,Barking and Dagenham 022B,"277,000"
E01000094,Barking and Dagenham 022C,"365,000"
E01000095,Barking and Dagenham 018E,"337,500"
E01000096,Barking and Dagenham 022D,"329,250"
E01000097,Barking and Dagenham 023C,"346,000"
E01000098,Barking and Dagenham 023D,"350,000"
E01000099,Barking and Dagenham 023E,"350,000"
E01000100,Barking and Dagenham 004B,"267,500"
E01000101,Barking and Dagenham 004C,"350,000"
E01000102,Barking and Dagenham 007G,"337,000"
E01000103,Barking and Dagenham 014A,"340,000"
E01000104,Barking and Dagenham 014B,"200,000"
E01000105,Barking and Dagenham 014C,"328,000"
E01000106,Barking and Dagenham 014D,"287,500"
E01000107,Barking and Dagenham 010C,"361,000"
E01000108,Barking and Dagenham 010D,"339,000"
E01000109,Barking and Dagenham 004D,"370,000"
E01000110,Barking and Dagenham 002C,"410,000"
E01000111,Barking and Dagenham 002D,"310,000"
E01000112,Barking and Dagenham 002E,"390,000"
E01000113,Barking and Dagenham 002F,"380,000"
E01000114,Barking and Dagenham 004E,"387,750"
E01032580,Barking and Dagenham 023F,"335,500"
E01033587,Barking and Dagenham 021E,"265,000"
E01033588,Barking and Dagenham 021F,"237,000"
E01000115,Barnet 009A,"890,000"
E01000116,Barnet 009B,"597,475"
E01000117,Barnet 010A,"597,500"
E01000118,Barnet 010B,"554,000"
E01000119,Barnet 009C,"810,000"
E01000120,Barnet 009D,"756,000"
E01000121,Barnet 010C,"544,000"
E01000122,Barnet 009E,"700,000"
E01000123,Barnet 010D,"530,000"
E01000124,Barnet 010E,"492,500"
E01000125,Barnet 024A,"327,500"
E01000126,Barnet 026A,"440,000"
E01000127,Barnet 024B,"423,000"
E01000128,Barnet 024C,"460,000"
E01000129,Barnet 024D,
E01000130,Barnet 021A,
E01000131,Barnet 024E,"512,500"
E01000132,Barnet 021B,"434,000"
E01000133,Barnet 021C,"446,250"
E01000134,Barnet 024F,"435,000"
E01000135,Barnet 038A,"1,580,000"
E01000136,Barnet 038B,"2,795,000"
E01000137,Barnet 041A,"785,555"
E01000138,Barnet 040A,"857,500"
E01000139,Barnet 041B,"700,000"
E01000140,Barnet 041C,"1,250,000"
E01000141,Barnet 039A,"639,000"
E01000142,Barnet 040B,"362,500"
E01000143,Barnet 041D,
E01000144,Barnet 038C,"721,500"
E01000145,Barnet 037A,"1,100,000"
E01000146,Barnet 038D,"1,500,000"
E01000147,Barnet 030A,"615,000"
E01000148,Barnet 030B,"310,000"
E01000150,Barnet 036A,"385,000"
E01000151,Barnet 026B,
E01000152,Barnet 026C,"407,500"
E01000153,Barnet 026D,
E01000154,Barnet 026E,"400,000"
E01000155,Barnet 030D,"315,000"
E01000156,Barnet 022A,"700,000"
E01000157,Barnet 022B,"440,000"
E01000158,Barnet 015A,"636,750"
E01000159,Barnet 015B,"779,000"
E01000160,Barnet 015C,"440,000"
E01000161,Barnet 015D,"456,250"
E01000162,Barnet 015E,"701,250"
E01000163,Barnet 022C,"350,000"
E01000164,Barnet 022D,"660,000"
E01000165,Barnet 022E,"515,000"
E01000166,Barnet 003A,"625,000"
E01000167,Barnet 002A,"390,000"
E01000168,Barnet 003B,"800,000"
E01000169,Barnet 003C,"517,500"
E01000170,Barnet 006A,"510,000"
E01000171,Barnet 006B,"340,000"
E01000172,Barnet 003D,"665,000"
E01000173,Barnet 006C,"590,000"
E01000174,Barnet 006D,"381,500"
E01000175,Barnet 006E,"676,250"
E01000176,Barnet 027A,
E01000177,Barnet 029A,"600,000"
E01000178,Barnet 027B,"650,000"
E01000179,Barnet 029B,"625,000"
E01000180,Barnet 029C,"500,000"
E01000181,Barnet 029D,"948,750"
E01000182,Barnet 029E,"1,070,000"
E01000183,Barnet 033A,"428,000"
E01000184,Barnet 027C,"370,250"
E01000185,Barnet 029F,"350,000"
E01000186,Barnet 014A,"731,250"
E01000187,Barnet 014B,"803,750"
E01000188,Barnet 014C,"1,009,225"
E01000189,Barnet 014D,"385,000"
E01000190,Barnet 014E,"557,000"
